date,location,infectives,mlrt,low,high
2020-03-13,EC,0.3,4.5,1.83,8.82
2020-03-14,EC,0.5,4.23,1.71,8.17
2020-03-15,EC,0.7,3.87,1.51,7.31
2020-03-16,EC,1.1,3.83,1.51,6.99
2020-03-17,EC,1.6,3.6,1.45,6.43
2020-03-18,EC,2.2,3.52,1.47,6.1
2020-03-19,EC,2.9,3.23,1.3,5.49
2020-03-20,EC,3.8,3.02,1.21,5.05
2020-03-21,EC,4.8,2.83,1.12,4.66
2020-03-22,EC,5.9,2.65,1.04,4.31
2020-03-23,EC,7.1,2.58,1.04,4.11
2020-03-24,EC,8.3,2.48,1.01,3.89
2020-03-25,EC,9.5,2.36,1.0,3.7
2020-03-26,EC,10.7,2.23,0.92,3.47
2020-03-27,EC,12.0,2.17,0.94,3.36
2020-03-28,EC,13.5,2.08,0.87,3.18
2020-03-29,EC,15.2,2.03,0.93,3.13
2020-03-30,EC,17.4,1.99,0.89,3.0
2020-03-31,EC,20.3,1.99,0.92,2.94
2020-04-01,EC,23.8,1.97,0.95,2.88
2020-04-02,EC,28.3,2.0,1.06,2.89
2020-04-03,EC,34.0,2.05,1.12,2.86
2020-04-04,EC,41.1,2.1,1.23,2.87
2020-04-05,EC,49.9,2.13,1.33,2.87
2020-04-06,EC,60.7,2.16,1.39,2.84
2020-04-07,EC,73.7,2.19,1.46,2.82
2020-04-08,EC,88.9,2.2,1.53,2.8
2020-04-09,EC,105.6,2.19,1.56,2.75
2020-04-10,EC,123.0,2.14,1.55,2.67
2020-04-11,EC,139.8,2.05,1.5,2.56
2020-04-12,EC,155.3,1.95,1.4,2.42
2020-04-13,EC,168.9,1.83,1.3,2.28
2020-04-14,EC,180.0,1.7,1.19,2.14
2020-04-15,EC,188.4,1.57,1.08,2.01
2020-04-16,EC,195.1,1.47,0.97,1.89
2020-04-17,EC,201.1,1.39,0.89,1.8
2020-04-18,EC,207.6,1.33,0.84,1.74
2020-04-19,EC,214.6,1.29,0.81,1.7
2020-04-20,EC,221.8,1.26,0.8,1.68
2020-04-21,EC,228.7,1.24,0.79,1.66
2020-04-22,EC,235.1,1.22,0.75,1.62
2020-04-23,EC,239.8,1.19,0.72,1.58
2020-04-24,EC,242.3,1.15,0.71,1.56
2020-04-25,EC,242.9,1.09,0.64,1.49
2020-04-26,EC,242.4,1.05,0.6,1.45
2020-04-27,EC,242.4,1.03,0.58,1.43
2020-04-28,EC,244.3,1.04,0.58,1.43
2020-04-29,EC,249.3,1.07,0.61,1.46
2020-04-30,EC,259.7,1.14,0.7,1.54
