date,location,infectives,mlrt,low,high
2020-03-27,FS,44.1,1.5,0.75,2.15
2020-03-28,FS,39.7,1.29,0.55,1.94
2020-03-29,FS,34.6,1.1,0.38,1.76
2020-03-30,FS,29.4,0.94,0.23,1.59
2020-03-31,FS,24.5,0.8,0.11,1.43
2020-04-01,FS,20.3,0.69,0.05,1.32
2020-04-02,FS,16.9,0.59,0.0,1.22
2020-04-03,FS,14.4,0.54,0.0,1.19
2020-04-04,FS,12.5,0.52,0.0,1.18
2020-04-05,FS,11.2,0.52,0.0,1.19
2020-04-06,FS,10.2,0.53,0.0,1.21
2020-04-07,FS,9.5,0.53,0.0,1.23
2020-04-08,FS,8.8,0.53,0.0,1.24
2020-04-09,FS,8.2,0.55,0.0,1.26
2020-04-10,FS,7.8,0.54,0.0,1.27
2020-04-11,FS,7.5,0.56,0.0,1.29
2020-04-12,FS,7.2,0.58,0.0,1.32
2020-04-13,FS,7.1,0.6,0.0,1.36
2020-04-14,FS,7.2,0.63,0.03,1.42
2020-04-15,FS,7.3,0.66,0.0,1.43
2020-04-16,FS,7.6,0.67,0.01,1.46
2020-04-17,FS,8.0,0.68,0.01,1.47
2020-04-18,FS,8.3,0.71,0.04,1.53
2020-04-19,FS,8.6,0.72,0.02,1.53
2020-04-20,FS,8.8,0.72,0.04,1.55
2020-04-21,FS,8.8,0.72,0.02,1.53
2020-04-22,FS,8.8,0.71,0.03,1.53
2020-04-23,FS,8.8,0.7,0.01,1.51
2020-04-24,FS,8.9,0.7,0.03,1.52
2020-04-25,FS,9.2,0.73,0.03,1.55
2020-04-26,FS,9.7,0.75,0.02,1.56
2020-04-27,FS,10.4,0.79,0.04,1.61
2020-04-28,FS,11.2,0.84,0.09,1.69
2020-04-29,FS,12.1,0.89,0.09,1.73
2020-04-30,FS,13.0,0.9,0.1,1.74
2020-05-01,FS,13.6,0.92,0.11,1.75
2020-05-02,FS,13.9,0.9,0.12,1.74
2020-05-03,FS,13.9,0.88,0.09,1.69
2020-05-04,FS,13.7,0.85,0.11,1.68
2020-05-05,FS,13.4,0.84,0.09,1.65
2020-05-06,FS,13.1,0.85,0.09,1.65
2020-05-07,FS,13.1,0.86,0.09,1.66
2020-05-08,FS,13.7,0.87,0.13,1.7
2020-05-09,FS,14.9,0.9,0.12,1.71
2020-05-10,FS,16.8,0.96,0.16,1.78
2020-05-11,FS,19.3,1.06,0.23,1.89
2020-05-12,FS,22.3,1.17,0.29,1.98
2020-05-13,FS,25.6,1.26,0.37,2.06
2020-05-14,FS,28.9,1.31,0.46,2.12
2020-05-15,FS,32.0,1.38,0.53,2.16
2020-05-16,FS,34.8,1.38,0.55,2.14
2020-05-17,FS,37.1,1.39,0.58,2.13
2020-05-18,FS,39.1,1.39,0.6,2.11
2020-05-19,FS,40.9,1.35,0.57,2.05
2020-05-20,FS,42.6,1.32,0.56,2.01
2020-05-21,FS,44.5,1.3,0.54,1.97
2020-05-22,FS,47.1,1.32,0.56,1.97
2020-05-23,FS,50.5,1.33,0.62,2.0
2020-05-24,FS,55.0,1.38,0.66,2.02
2020-05-25,FS,60.4,1.43,0.73,2.06
2020-05-26,FS,66.4,1.47,0.78,2.08
2020-05-27,FS,72.5,1.49,0.8,2.07
2020-05-28,FS,78.4,1.49,0.86,2.09
2020-05-29,FS,83.5,1.47,0.86,2.06
2020-05-30,FS,87.4,1.43,0.8,1.98
2020-05-31,FS,89.9,1.36,0.74,1.9
2020-06-01,FS,91.3,1.29,0.72,1.86
2020-06-02,FS,92.0,1.22,0.6,1.74
2020-06-03,FS,92.7,1.17,0.57,1.7
2020-06-04,FS,94.2,1.15,0.57,1.69
2020-06-05,FS,97.0,1.17,0.57,1.69
2020-06-06,FS,102.0,1.19,0.6,1.71
2020-06-07,FS,109.6,1.26,0.67,1.77
2020-06-08,FS,120.1,1.35,0.78,1.86
2020-06-09,FS,133.3,1.45,0.91,1.96
2020-06-10,FS,148.6,1.53,1.01,2.03
2020-06-11,FS,165.3,1.59,1.07,2.06
2020-06-12,FS,182.7,1.62,1.1,2.06
2020-06-13,FS,199.9,1.61,1.11,2.04
2020-06-14,FS,216.5,1.59,1.12,2.02
2020-06-15,FS,232.6,1.55,1.08,1.96
2020-06-16,FS,249.7,1.53,1.07,1.93
2020-06-17,FS,269.0,1.51,1.07,1.91
2020-06-18,FS,292.6,1.54,1.1,1.92
2020-06-19,FS,322.4,1.59,1.16,1.96
2020-06-20,FS,360.7,1.66,1.26,2.03
2020-06-21,FS,408.2,1.74,1.33,2.08
2020-06-22,FS,465.6,1.82,1.42,2.14
2020-06-23,FS,532.6,1.87,1.52,2.2
2020-06-24,FS,609.4,1.9,1.56,2.21
2020-06-25,FS,695.5,1.91,1.59,2.21
2020-06-26,FS,790.4,1.9,1.57,2.17
2020-06-27,FS,893.3,1.88,1.57,2.14
2020-06-28,FS,1003.7,1.84,1.54,2.09
2020-06-29,FS,1121.4,1.8,1.51,2.04
2020-06-30,FS,1246.5,1.76,1.48,1.99
2020-07-01,FS,1380.4,1.73,1.46,1.95
2020-07-02,FS,1525.3,1.71,1.46,1.93
2020-07-03,FS,1683.4,1.7,1.44,1.9
2020-07-04,FS,1857.2,1.69,1.45,1.89
2020-07-05,FS,2048.5,1.69,1.46,1.88
2020-07-06,FS,2257.4,1.68,1.45,1.86
2020-07-07,FS,2484.2,1.67,1.47,1.86
2020-07-08,FS,2728.6,1.66,1.45,1.83
2020-07-09,FS,2989.7,1.64,1.43,1.8
2020-07-10,FS,3268.3,1.63,1.44,1.79
2020-07-11,FS,3563.3,1.61,1.42,1.76
2020-07-12,FS,3871.1,1.59,1.4,1.73
2020-07-13,FS,4189.4,1.56,1.38,1.7
2020-07-14,FS,4512.9,1.53,1.36,1.67
2020-07-15,FS,4836.0,1.49,1.33,1.63
2020-07-16,FS,5150.6,1.45,1.3,1.59
2020-07-17,FS,5447.3,1.4,1.24,1.53
2020-07-18,FS,5717.8,1.35,1.19,1.47
2020-07-19,FS,5956.5,1.3,1.14,1.42
2020-07-20,FS,6160.2,1.25,1.1,1.37
2020-07-21,FS,6329.4,1.2,1.05,1.32
2020-07-22,FS,6462.8,1.15,1.0,1.27
2020-07-23,FS,6562.1,1.11,0.96,1.23
2020-07-24,FS,6626.4,1.08,0.94,1.2
2020-07-25,FS,6653.3,1.04,0.9,1.16
2020-07-26,FS,6643.8,1.0,0.86,1.12
2020-07-27,FS,6598.8,0.96,0.82,1.08
2020-07-28,FS,6519.0,0.92,0.77,1.04
2020-07-29,FS,6405.6,0.88,0.73,1.0
2020-07-30,FS,6261.8,0.85,0.7,0.97
2020-07-31,FS,6094.0,0.82,0.67,0.94
2020-08-01,FS,5910.8,0.79,0.63,0.91
2020-08-02,FS,5716.2,0.77,0.61,0.89
2020-08-03,FS,5512.9,0.75,0.58,0.87
2020-08-04,FS,5299.7,0.73,0.57,0.86
2020-08-05,FS,5078.4,0.71,0.53,0.83
2020-08-06,FS,4849.8,0.68,0.52,0.82
2020-08-07,FS,4617.7,0.66,0.48,0.79
2020-08-08,FS,4389.5,0.65,0.48,0.79
2020-08-09,FS,4174.9,0.65,0.47,0.79
2020-08-10,FS,3980.5,0.66,0.47,0.8
2020-08-11,FS,3811.1,0.69,0.51,0.84
2020-08-12,FS,3671.6,0.73,0.53,0.87
2020-08-13,FS,3562.0,0.77,0.59,0.93
2020-08-14,FS,3476.2,0.81,0.64,0.98
2020-08-15,FS,3402.7,0.84,0.64,0.99
2020-08-16,FS,3330.2,0.85,0.65,1.0
2020-08-17,FS,3254.7,0.84,0.65,1.0
2020-08-18,FS,3177.1,0.83,0.63,0.99
2020-08-19,FS,3094.4,0.82,0.62,0.98
2020-08-20,FS,3006.2,0.8,0.61,0.97
2020-08-21,FS,2915.7,0.79,0.58,0.95
2020-08-22,FS,2828.5,0.79,0.59,0.96
2020-08-23,FS,2750.6,0.8,0.58,0.96
2020-08-24,FS,2682.5,0.82,0.61,0.99
2020-08-25,FS,2622.6,0.83,0.63,1.01
2020-08-26,FS,2570.1,0.85,0.63,1.02
2020-08-27,FS,2524.0,0.86,0.65,1.04
2020-08-28,FS,2482.6,0.88,0.67,1.06
2020-08-29,FS,2443.3,0.88,0.68,1.07
2020-08-30,FS,2403.1,0.88,0.66,1.06
2020-08-31,FS,2360.9,0.88,0.65,1.05
2020-09-01,FS,2316.5,0.87,0.65,1.05
2020-09-02,FS,2271.7,0.86,0.66,1.06
2020-09-03,FS,2228.2,0.86,0.63,1.04
2020-09-04,FS,2186.0,0.87,0.64,1.05
2020-09-05,FS,2145.5,0.87,0.65,1.06
2020-09-06,FS,2106.1,0.87,0.63,1.05
2020-03-13,GP,60.5,2.68,0.69,6.39
2020-03-14,GP,76.8,2.62,1.46,3.76
2020-03-15,GP,96.5,2.59,1.71,3.39
2020-03-16,GP,119.8,2.54,1.84,3.2
2020-03-17,GP,146.9,2.48,1.87,3.04
2020-03-18,GP,177.6,2.41,1.85,2.9
2020-03-19,GP,211.0,2.32,1.81,2.77
2020-03-20,GP,245.0,2.21,1.72,2.62
2020-03-21,GP,277.3,2.08,1.62,2.47
2020-03-22,GP,305.6,1.92,1.49,2.3
2020-03-23,GP,326.9,1.74,1.31,2.1
2020-03-24,GP,338.6,1.54,1.14,1.91
2020-03-25,GP,339.0,1.34,0.91,1.68
2020-03-26,GP,327.9,1.12,0.7,1.47
2020-03-27,GP,307.3,0.91,0.49,1.27
2020-03-28,GP,280.0,0.71,0.29,1.08
2020-03-29,GP,248.4,0.53,0.13,0.91
2020-03-30,GP,216.5,0.38,0.0,0.72
2020-03-31,GP,187.7,0.28,0.0,0.65
2020-04-01,GP,164.6,0.26,0.0,0.63
2020-04-02,GP,148.5,0.28,0.0,0.66
2020-04-03,GP,139.2,0.35,0.0,0.74
